X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
F,2,2,1,A6,J,J,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,2,2,A6,L,J,K,K,K,J,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,2,2,A5,K,K,K,K,K,K,Q,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A5,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,1,A2,L,K,L,K,K,K,R,R,Q,R,R,R,X,W,X,X,X,X,0
F,1,1,2,A5,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
B,1,1,2,A6,K,K,K,K,K,K,M,M,M,M,M,M,W,W,W,X,X,X,0
F,2,2,2,A6,K,L,L,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,3,1,A6,K,K,J,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,3,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,3,2,A5,K,K,J,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,2,A3,L,L,L,L,L,J,R,R,R,R,R,R,X,X,X,X,X,X,0
A,2,2,2,A4,L,K,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,J,J,K,K,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
D,1,1,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,2,3,3,A6,K,J,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,1,2,A6,K,K,J,J,J,J,R,R,R,R,R,R,X,X,X,X,X,X,1
D,1,1,1,A3,K,K,K,L,L,L,N,N,O,Q,R,O,X,X,V,X,U,W,0
C,2,1,1,A3,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,3,2,A4,K,K,K,K,K,L,Q,Q,R,R,R,R,X,X,X,X,X,W,0
E,2,2,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,2,2,A6,J,K,K,J,J,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
B,2,1,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,1,2,A6,K,K,K,L,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
